0	1	1	1	2	2	2
GeneID	infected	infected	infected	control	control	control
XLOC_000001	0	0	0	0	0	1
XLOC_000002	0	0	0	0	0	0
XLOC_000003	233	290	359	203	264	264
XLOC_000004	4	2	3	1	2	0
XLOC_000005	5	4	1	9	11	11
XLOC_000006	128	80	104	139	128	152
XLOC_000007	511	432	627	473	335	370
XLOC_000008	11	19	19	14	18	8
XLOC_000009	8	7	2	4	1	3
XLOC_000010	1	0	1	0	0	1
XLOC_000011	62	51	69	47	46	44
XLOC_000012	687	551	639	489	378	418
XLOC_000013	327	244	322	368	297	301
XLOC_000014	1237	858	1273	1248	1118	1051
XLOC_000015	42	107	83	126	158	151
XLOC_000016	370	361	438	469	357	367
XLOC_000017	7	8	16	22	14	17
XLOC_000018	5	13	5	7	6	10
XLOC_000019	27	21	24	33	22	27
XLOC_000020	150	127	183	234	175	172
XLOC_000021	901	700	1003	1162	916	963
XLOC_000022	6	3	6	11	5	2
XLOC_000023	85	68	87	71	54	51
XLOC_000024	38	16	33	31	41	22
XLOC_000025	35	31	45	46	37	43
XLOC_000026	252	182	211	190	168	179
XLOC_000027	553	539	746	643	564	490
XLOC_000028	4	1	5	4	2	0
XLOC_000029	36	24	29	31	28	42
XLOC_000030	43	44	56	69	43	47
XLOC_000031	31	30	37	35	43	29
XLOC_000032	0	0	0	0	0	0
XLOC_000033	516	537	577	489	449	396
XLOC_000034	13	0	7	12	16	11
XLOC_000035	119	105	153	109	75	81
XLOC_000036	112	90	112	86	80	68
XLOC_000037	120	119	129	63	76	78
XLOC_000038	56	65	61	58	46	57
XLOC_000039	18	14	18	13	6	8
XLOC_000040	25	18	24	24	27	24
XLOC_000041	576	426	623	699	621	545
XLOC_000042	65	55	77	82	75	64
XLOC_000043	2	7	9	8	3	2
XLOC_000044	135	116	140	140	117	121
XLOC_000045	35	7	7	16	24	25
XLOC_000046	30	17	48	7	8	6
XLOC_000047	0	0	0	0	0	0
XLOC_000048	21	9	17	12	11	10
XLOC_000049	32	24	29	40	24	19
XLOC_000050	10	12	16	10	8	9
XLOC_000051	116	98	98	109	92	123
XLOC_000052	0	0	0	0	0	0
XLOC_000053	259	174	328	428	299	342
XLOC_000054	326	328	388	281	250	250
XLOC_000055	2	4	4	4	1	2
XLOC_000056	2	4	4	7	4	2
XLOC_000057	58	43	50	32	42	46
XLOC_000058	201	117	179	199	187	171
XLOC_000059	88	91	80	96	76	84
XLOC_000060	14	10	19	11	19	14
XLOC_000061	4	9	6	3	12	5
XLOC_000062	22	28	19	27	17	32
XLOC_000063	7	4	1	3	8	6
XLOC_000064	179	139	182	142	128	124
XLOC_000065	7	3	14	4	7	14
XLOC_000066	580	189	363	522	665	762
XLOC_000067	9	11	12	22	19	12
XLOC_000068	159	149	179	225	198	162
XLOC_000069	0	0	0	0	0	1
XLOC_000070	1425	930	1451	1378	1189	1150
XLOC_000071	8	5	4	3	9	6
