sample	group	batch
s_50amol_1	1	1
s_50amol_2	1	1
s_50amol_3	1	2
s_125amol_1	2	2
s_125amol_2	2	1
s_125amol_3	2	1
s_250amol_1	3	2
s_250amol_2	3	2
s_250amol_3	3	1
s_500amol_1	4	1
s_500amol_2	4	2
s_500amol_3	4	2
s_2500amol_1	5	1
s_2500amol_2	5	1
s_2500amol_3	5	2
s_5000amol_1	6	2
s_5000amol_2	6	1
s_5000amol_3	6	1
s_12500amol_1	7	2
s_12500amol_2	7	2
s_12500amol_3	7	1
s_25000amol_1	8	1
s_25000amol_2	8	2
s_25000amol_3	8	2
s_50000amol_1	9	1
s_50000amol_2	9	1
s_50000amol_3	9	2
