Average RT	s_12500amol_1	s_12500amol_2	s_12500amol_3	s_125amol_1	s_125amol_2	s_125amol_3
45.334675	460317984	452732000	437262016	426683008	439257024	465436992
36.62115	47471600	41813000	35200700	36987200	30804400	28051400
47.060673	226124000	196450000	188783008	189303008	211080992	183068992
105.40621	717503040	734898050	511878496	1034022590	942722050	1206270720
59.78321	181595008	177648992	168362000	212707008	230022000	193860992
9.024345	NA	NA	NA	4241750	3202260	NA
68.306046	NA	NA	NA	4123870	NA	NA
43.60454	98650400	103397000	84051904	83620200	89233400	87085200
68.821884	1163120000	1180610050	1091180030	1213869950	1201240060	1192009980
68.79129	27272000	39407900	46071400	34631900	30948100	42811500
29.135664	112726600	110765200	122720400	110622528	120727136	114905800
56.11065	34524200	32526000	NA	NA	NA	32395000
65.33199	457444608	360500992	428674976	432100000	412530208	402003840
16.97708	237398000	239550000	217183008	267616992	248996992	249498000
37.625175	102633008	110044144	115900096	162632608	139010704	121154896
43.10483	66146500	60732500	NA	NA	444888992	344183008
42.697033	NA	219943008	212752000	992100990	956137020	913446020
50.063282	17891500	16683200	13516400	22459800	22757900	23903700
30.02538	224796992	198400000	237918000	258656000	238127008	249098000
37.088863	28012100	19055400	21079000	43608700	45799500	24494700
45.081978	107809000	102442000	103263000	82247400	67092200	72232600
57.45605	44449000	55487300	51757700	45623020	49670500	41261800
72.12412	NA	26941500	31685200	44923200	NA	39690100
41.56953	72611000	85023904	95302896	NA	92084304	80244304
55.396072	49757600	43045400	44131200	53603500	48699300	51898200
27.100904	74290496	NA	NA	59638700	74414800	85236200
38.592266	993169020	914129020	888755010	666467010	657364990	626968000
