"log2","VSN","GI","median","mean","Quantile","CycLoess","RLR","RT-median","RT-mean","RT-Loess","RT-VSN"
0.939157005945018,0.939157005945018,0.939157005945018,0.939157005945019,0.939157005945019,0.917633606256733,0.945672641513201,0.939157005945018,0.939157005945019,0.939157005945019,0.945672641513201,0.939157005945018
0.971170370984115,0.971170370984114,0.971170370984114,0.971170370984114,0.971170370984114,0.971404426512174,0.974994216076489,0.971170370984114,0.971170370984114,0.971170370984114,0.974994216076489,0.971170370984114
0.959464462297772,0.959464462297772,0.959464462297772,0.959464462297772,0.959464462297772,0.940402362090963,0.959974033457351,0.959464462297771,0.959464462297772,0.959464462297772,0.959974033457351,0.959464462297772
0.980041806626688,0.980041806626688,0.980041806626688,0.980041806626688,0.980041806626688,0.972418715591953,0.981569153655633,0.980041806626688,0.980041806626688,0.980041806626688,0.981569153655633,0.980041806626688
0.964123519290171,0.964123519290171,0.964123519290171,0.964123519290171,0.964123519290171,0.952366099409259,0.965741649919053,0.964123519290171,0.964123519290171,0.964123519290171,0.965741649919053,0.964123519290171
0.953520437912508,0.953520437912508,0.953520437912508,0.953520437912508,0.953520437912508,0.9437858385132,0.956081793241393,0.953520437912508,0.953520437912508,0.953520437912508,0.956081793241393,0.953520437912508
0.888971751104264,0.888971751104265,0.888971751104264,0.888971751104264,0.888971751104264,0.886899413534722,0.891535805877549,0.888971751104264,0.888971751104264,0.888971751104264,0.891535805877549,0.888971751104265
0.965007801453923,0.965007801453923,0.965007801453923,0.965007801453923,0.965007801453923,0.965448852571819,0.964040449875607,0.965007801453923,0.965007801453923,0.965007801453923,0.964040449875607,0.965007801453923
0.894515978195899,0.894515978195899,0.894515978195899,0.894515978195899,0.894515978195899,0.887516727901634,0.898269926562684,0.894515978195899,0.894515978195899,0.894515978195899,0.898269926562684,0.894515978195899
0.862082075427083,0.862082075427083,0.862082075427083,0.862082075427083,0.862082075427083,0.856417219020107,0.865960373971249,0.862082075427083,0.862082075427083,0.862082075427083,0.865960373971249,0.862082075427083
0.976283170213228,0.976283170213228,0.976283170213228,0.976283170213228,0.976283170213228,0.972267302319431,0.979361159831603,0.976283170213228,0.976283170213228,0.976283170213228,0.979361159831603,0.976283170213228
0.854184453423717,0.854184453423717,0.854184453423717,0.854184453423717,0.854184453423717,0.851661185761159,0.860187115063521,0.854184453423717,0.854184453423717,0.854184453423717,0.860187115063521,0.854184453423717
0.976829711927163,0.976829711927163,0.976829711927163,0.976829711927163,0.976829711927163,0.979916070079201,0.976473515126612,0.976829711927163,0.976829711927163,0.976829711927163,0.976473515126612,0.976829711927163
0.961644009740181,0.961644009740182,0.961644009740182,0.961644009740182,0.961644009740181,0.961110158144558,0.96066343243247,0.961644009740181,0.961644009740182,0.961644009740181,0.96066343243247,0.961644009740182
0.970951634041321,0.970951634041321,0.970951634041321,0.970951634041321,0.970951634041321,0.972181404209686,0.967629844746797,0.970951634041321,0.970951634041321,0.970951634041321,0.967629844746797,0.970951634041321
0.97959446994411,0.97959446994411,0.97959446994411,0.97959446994411,0.97959446994411,0.977509836611926,0.979454328106536,0.97959446994411,0.97959446994411,0.97959446994411,0.979454328106536,0.97959446994411
0.97459740796856,0.97459740796856,0.97459740796856,0.97459740796856,0.97459740796856,0.964241882400484,0.974588629452429,0.97459740796856,0.97459740796856,0.97459740796856,0.974588629452429,0.97459740796856
0.973572021205501,0.973572021205501,0.973572021205501,0.973572021205501,0.973572021205501,0.962337122390837,0.97256769424919,0.973572021205501,0.973572021205501,0.973572021205501,0.97256769424919,0.973572021205501
0.984155764101624,0.984155764101624,0.984155764101624,0.984155764101624,0.984155764101624,0.98259867715701,0.983577323099268,0.984155764101624,0.984155764101624,0.984155764101624,0.983577323099268,0.984155764101624
0.98157096041122,0.98157096041122,0.98157096041122,0.98157096041122,0.98157096041122,0.981433734069753,0.981145752165127,0.98157096041122,0.98157096041122,0.98157096041122,0.981145752165127,0.98157096041122
0.988816534925356,0.988816534925356,0.988816534925356,0.988816534925356,0.988816534925356,0.986413477116316,0.988789010009243,0.988816534925356,0.988816534925356,0.988816534925356,0.988789010009243,0.988816534925356
0.973845344259194,0.973845344259194,0.973845344259194,0.973845344259194,0.973845344259194,0.970545389750863,0.973679275817596,0.973845344259194,0.973845344259194,0.973845344259194,0.973679275817596,0.973845344259194
0.983303815363676,0.983303815363676,0.983303815363676,0.983303815363676,0.983303815363676,0.981210047707851,0.982404682274139,0.983303815363676,0.983303815363676,0.983303815363676,0.982404682274139,0.983303815363676
0.969650740824513,0.969650740824513,0.969650740824512,0.969650740824512,0.969650740824512,0.971704194668447,0.968762540065839,0.969650740824512,0.969650740824512,0.969650740824512,0.968762540065839,0.969650740824513
0.954226648906646,0.954226648906646,0.954226648906646,0.954226648906646,0.954226648906646,0.953647882367075,0.955416145295592,0.954226648906646,0.954226648906646,0.954226648906646,0.955416145295592,0.954226648906646
0.963251322752479,0.963251322752479,0.963251322752479,0.963251322752479,0.963251322752479,0.959360785999947,0.963801849109827,0.963251322752479,0.963251322752479,0.963251322752479,0.963801849109827,0.963251322752479
0.971879896759734,0.971879896759734,0.971879896759734,0.971879896759734,0.971879896759734,0.969114001792573,0.974668595620028,0.971879896759734,0.971879896759734,0.971879896759734,0.974668595620028,0.971879896759734
